Action id,"
Municipality/Region name ",Province,Action Label/Name and Description,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)",,,,,,,,,
ID-Summerland-001,Summerland,British Columbia,"Implement BC Energy Step Code Suite: Educate builders, developers, building officials, and trades on Energy Step Code",Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway,,,,,,,,,
ID-Summerland-002,Summerland,British Columbia,Implement BC Energy Step Code Suite: Reference the BC Energy Step Code – requirement,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-Summerland-003,Summerland,British Columbia,Implement BC Energy Step Code Suite: Implement fee rebates to encourage improved energy performance,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Summerland-004,Summerland,British Columbia,Implement BC Energy Step Code Suite: Implement a Development Permit Area to enhance energy performance,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Summerland-005,Summerland,British Columbia,Remove rate increase for electric heat in electrical utility,Price Signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Underway,,,,,,,,,
ID-Summerland-006,Summerland,British Columbia,Educate realtors on energy efficiency and renewable energy,Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned,,,,,,,,,
ID-Summerland-007,Summerland,British Columbia,Host a climate change program for businesses,Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned,,,,,,,,,
ID-Summerland-008,Summerland,British Columbia,"Promote electricity, natural gas, and other energy efficiency programs",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Ongoing,,,,,,,,,
ID-Sunshine Coast Regional District-001,Sunshine Coast Regional District,British Columbia,Support the construction of better new buildings - Require new buildings to be more efficient and use cleaner energy (e.g. by requiring adoption of higher performance steps of the BC Energy Step Code or the Zero Carbon Step Code). ,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Sunshine Coast Regional District-002,Sunshine Coast Regional District,British Columbia,Support the construction of better new buildings - Collaborate with Provincial Government and local construction sector to promote market readiness. ,Price Signals,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Sunshine Coast Regional District-003,Sunshine Coast Regional District,British Columbia,Support better existing buildings - Support market readiness for significant scaling of renovations that improve energy efficiency. ,Action under consideration by municipality - not enough information to code.,,,No,No,Planned,,,,,,,,,
ID-Sunshine Coast Regional District-004,Sunshine Coast Regional District,British Columbia,Support better existing buildings - Promote senior government or third party building energy labeling and benchmarking for better transparency.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Planned,,,,,,,,,
ID-Surrey-001,Surrey,British Columbia,"(QS) Update the Surrey Building Bylaw to enable greenhouse gas limits and/or offer low-carbon compliance pathways to rapidly phase out operational carbon pollution across all types of new buildings, alongside Energy Step Code updates for energy efficiency ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-Surrey-002,Surrey,British Columbia,Develop and publish a schedule of anticipated future updates to climate related building standards ,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Not indicated,,,,,,,,,
ID-Surrey-003,Surrey,British Columbia,Require Part 3 development applicants to incorporate future weather data in building modelling and report to the City on results and implications ,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Not indicated,,,,,,,,,
ID-Surrey-004,Surrey,British Columbia,Advocate to senior governments for building code standards to ensure buildings are designed to avoid overheating ,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Not indicated,,,,,,,,,
ID-Surrey-005,Surrey,British Columbia,"Collaborate with non-profit housing agencies, and advocate to senior governments for funding, to support and streamline zero-carbon resilient affordable housing developments ",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated,,,,,,,,,
ID-Surrey-006,Surrey,British Columbia,Develop incentives to encourage industry leaders to build to higher standards in advance of minimum regulatory requirements ,Price Signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Not indicated,,,,,,,,,
ID-Surrey-007,Surrey,British Columbia," (QS) Undertake a scan to identify existing or potential barriers to resilient zero-carbon buildings in City policies and/or bylaws (e .g ., urban design, floor area, and setbacks) . ",Public Investment,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Surrey-008,Surrey,British Columbia,(QS) Replace the Sustainable Development Checklist with a tool to encourage resilient zero-carbon buildings and sustainability features . ,Public Investment,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Surrey-009,Surrey,British Columbia,Provide training opportunities for City staff in the current and emerging technologies and practices needed to deliver resilient zero-carbon buildings . ,Public Investment,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Not indicated,,,,,,,,,
ID-Surrey-010,Surrey,British Columbia,"Consider zoning approaches to encourage resilient zero-carbon building forms (e .g ., heights conducive to mass timber buildings) . ",Price Signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Not indicated,,,,,,,,,
ID-Surrey-011,Surrey,British Columbia, Demonstrate leading energy and climate performance in new City buildings and recognize local industry leaders . ,Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Not indicated,,,,,,,,,
ID-Surrey-012,Surrey,British Columbia,"(QS) Review green building program implementation needs including staffing, data collection, and processes for quality assurance of submissions . ",Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway,,,,,,,,,
ID-Surrey-013,Surrey,British Columbia,(QS) Develop a strategy for integrating energy and GHG data from permit applications and reports and integrate into City business application tools for analysis and tracking .   ,Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway,,,,,,,,,
ID-Surrey-014,Surrey,British Columbia, Explore opportunities to evaluate and improve the quality and completeness of submissions for compliance with building energy and emissions regulations and policies .  ,Mandates,Mandate Reporting,Require energy audits and disclosure,No,No,Not indicated,,,,,,,,,
ID-Surrey-015,Surrey,British Columbia,"Advocate for senior government regulations, funding, education programs and program supports to phase out GHG emissions from existing buildings",Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Not indicated,,,,,,,,,
ID-Surrey-016,Surrey,British Columbia,"(QS) Develop a data-based decision support tool to inform action planning, policy making, and program development for retrofitting buildings .  ",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway,,,,,,,,,
ID-Surrey-017,Surrey,British Columbia,"Develop a comprehensive existing buildings strategy for resilient, zero-carbon building retrofits .  ",Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Not indicated,,,,,,,,,
ID-Surrey-018,Surrey,British Columbia,Implement home energy labelling to encourage informed decision-making by home buyers ,Mandates,Mandate Reporting,Require building rating system,No,No,Not indicated,,,,,,,,,
ID-Tay Valley Township-001,Tay Valley Township,Ontario,"Minimize energy consumption  and Greenhouse Gas emissions of Municipal buildings  - Assess any new construction, renovation, or maintenance for its potential opportunity to reduce Greenhouse Gases and operating costs of all Municipal buildings",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,Yes,Underway,,,,,,,,,
ID-Tay Valley Township-002,Tay Valley Township,Ontario,Minimize energy consumption  and Greenhouse Gas emissions of Municipal buildings  - Continue lighting retrofit projects,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,Yes,Underway,,,,,,,,,
ID-Tay Valley Township-003,Tay Valley Township,Ontario,Generate revenue to offset costs through net metering - Assess and implement net metering to reduce Greenhouse Gas emissions from electricity consumption and to generate revenue to offset costs by installing solar PV with  appropriate buildings,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Underway,,,,,,,,,
ID-Tay Valley Township-004,Tay Valley Township,Ontario,"Before further investments are made in the Municipal Office, assess any new construction, renovation, or maintenance for its potential opportunity to reduce Greenhouse Gases and operating costs. Specifically assess the Municipal Office with the intent to reduce heating and cooling load and convert mechanical systems from  natural gas to electricity with an integrated system using solar and net metering",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,Yes,Ongoing,,,,,,,,,
ID-Tay Valley Township-005,Tay Valley Township,Ontario,Develop a Home and Small Business Building Energy  program with financing and bulk purchasing capacity,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Ongoing,,,,,,,,,
ID-Tay Valley Township-006,Tay Valley Township,Ontario,"Encourage the development of training for local businesses and personnel in the delivery, installation and maintenance of low- and no-carbon systems such as heat pumps and PV systems. ",Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,Yes,Yes,Ongoing,,,,,,,,,
ID-Thunder Bay-001,Thunder Bay,Ontario,Develop green building standards that enable and incentivize net-zero construction and renovation in the community.,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-Thunder Bay-002,Thunder Bay,Ontario,Develop strategies that enable and encourage rooftop solar PV installations.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Thunder Bay-003,Thunder Bay,Ontario,Develop a residential retrofit program to reduce barriers for homeowners.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Thunder Bay-004,Thunder Bay,Ontario,Explore initiatives that assist business owners in undertaking commercial retrofit projects.,Voluntary action,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Thunder Bay-005,Thunder Bay,Ontario,Create an online hub of resources for homeowners and businesses interested in undertaking retrofit projects.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway,,,,,,,,,
ID-Thunder Bay-006,Thunder Bay,Ontario,"Promote and support low-carbon building initiatives that utilize local, renewable resources.",Price Signals,Support/Provide Rewards for Performance,Information gathering phase - action not yet identified ,No,Yes,Underway,,,,,,,,,
ID-Thunder Bay-007,Thunder Bay,Ontario,"Support local colleges and trade organizations to ensure local skilled labour is being trained, or retrained, in smart, green, and resilient design and construction.",Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,Yes,Underway,,,,,,,,,
ID-Thunder Bay-008,Thunder Bay,Ontario,"Establish an industrial energy efficiency and decarbonization working group to develop a sectorspecific implementation strategy, collaborate on low-carbon initiatives, and share best practices.",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Underway,,,,,,,,,
ID-Thunder Bay-009,Thunder Bay,Ontario,Identify new and existing incentives for deep energy efficiency improvements in the industrial sector. ,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Underway,,,,,,,,,
ID-Thunder Bay-010,Thunder Bay,Ontario,Advocate for funding to switch natural gas for renewable natural gas and other renewable energy sources in combined heat and power engines. Incrementally begin transition during the 5-year period.,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Underway,,,,,,,,,
ID-Thunder Bay-011,Thunder Bay,Ontario,Create an online hub of resources for homeowners and businesses interested in installing rooftop solar PV.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway,,,,,,,,,
ID-Thunder Bay-012,Thunder Bay,Ontario,Assess the availability of sustainable biomass in the region to support innovative fuel switching solutions.,Public Investment,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Thunder Bay-013,Thunder Bay,Ontario,Research opportunities for energy co-generation and/or district heating in existing and future facilities and operations.,Public Investment,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Thunder Bay-014,Thunder Bay,Ontario,Establish a renewable energy cooperative.,Action under consideration by municipality - not enough information to code.,,,No,No,Underway,,,,,,,,,
ID-Thunder Bay-015,Thunder Bay,Ontario,Participate in the development of the provincial low-carbon hydrogen strategy and other regional energy planning initiatives.,Public Investment,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Thunder Bay-016,Thunder Bay,Ontario,"Collaborate with regional energy providers to explore new, renewable energy production opportunities and develop a plan for increased renewable generation and storage. ",Public Investment,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Timmins-001,Timmins,Ontario,"Helping organizations (commercial, industrial and institutional) to rationalize longer-term payback periods by identifying cost-saving opportunities and behaviour-based programs that can reduce energy consumption",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Timmins-002,Timmins,Ontario,"Educating the community on the benefits of the ENERGY STAR® program, particularly when purchasing new appliances and electronics, and the impact of phantom loads.",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned,,,,,,,,,
ID-Timmins-003,Timmins,Ontario,"Targeting conservation programs to older residential and commercial buildings, in areas identified as high consumption during the energy mapping process.",Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Planned,,,,,,,,,
ID-Timmins-004,Timmins,Ontario,"Seeking out programs, and/or incentives and financing programs to assist residents to finance energy or GHG emissions reducing retrofits.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Timmins-005,Timmins,Ontario,Lobbying provincial and national governments to extend and expand both energy conservation and GHG emissions reduction programs and funding,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned,,,,,,,,,
ID-Timmins-006,Timmins,Ontario,Encouraging building owners to benchmark energy usage of their buildings and help develop an existing energy usage database for the community. This data can then be used to further improve the community’s culture of conservation,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Planned,,,,,,,,,
ID-Timmins-007,Timmins,Ontario,"Encouraging builders to improve energy efficiency, GHG emissions and sustainability of new buildings beyond the Ontario Building Code, using third party programs.",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Planned,,,,,,,,,
ID-Timmins-008,Timmins,Ontario,"Ensuring all new commercial, industrial and institutional buildings consider energy and water efficiency improvements during renovations or new builds",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Timmins-009,Timmins,Ontario,Encouraging our regional partners to consider adopting similar standards,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned,,,,,,,,,
ID-Timmins-010,Timmins,Ontario,Continuing to encourage building owners/managers to consider third party energy efficiency programs such as LEED™ and BOMA BEST,Price Signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Ongoing,,,,,,,,,
ID-Toronto-001,Toronto,Ontario,Ensure near zero emissions for all new construction,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-Toronto-002,Toronto,Ontario,"Advance Implementation of the Net Zero Existing Buildings Strategy. (Please refer to the Net Zero Existing Buildings Strategy, adopted by City Council in July 2021, for a detailed short-term implementation plan.) ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-Toronto-003,Toronto,Ontario,"Work with industry experts to explore limiting the expansion of natural gas systems and reversing system growth, where feasible, and limiting installation of natural gas equipment ",Public Investment,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Toronto-004,Toronto,Ontario,"Address barriers and develop strategies to increase the deployment of renewable energy and storage technologies, including but not limited to solar, wind, biomass, geothermal, waste heat recovery and heat pumps",Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway,,,,,,,,,
ID-Toronto-005,Toronto,Ontario,Require annual emissions performance reporting and public disclosure,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Underway,,,,,,,,,
ID-Toronto-006,Toronto,Ontario,"Part 1 - voluntary targets: Establish emissions performance targets:
• Introduce voluntary emissions performance targets for all major building types in Toronto in 2022, progressing over time to net zero by 2050.
• Investigate a transition from voluntary compliance in the nearterm to mandatory compliance in the medium-term (e.g. 2025).",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway,,,,,,,,,
ID-Toronto-007,Toronto,Ontario,"Part 2 -Information Gathering: Establish emissions performance targets:
• Introduce voluntary emissions performance targets for all major building types in Toronto in 2022, progressing over time to net zero by 2050.
• Investigate a transition from voluntary compliance in the nearterm to mandatory compliance in the medium-term (e.g. 2025).",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Toronto-008,Toronto,Ontario,Require energy and emissions audits and tune-ups ,Mandates,Mandate Reporting,Require energy audits and disclosure,No,No,Underway,,,,,,,,,
ID-Toronto-009,Toronto,Ontario,Provide integrated retrofit support,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway,,,,,,,,,
ID-Toronto-010,Toronto,Ontario,Expand and enhance retrofit financing,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway,,,,,,,,,
ID-Toronto-011,Toronto,Ontario,Build awareness and capacity of home and building owners for emissions reduction strategies and supports,Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway,,,,,,,,,
ID-Toronto-012,Toronto,Ontario,Support workforce development and training,Price Signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,No,No,Underway,,,,,,,,,
ID-Toronto-013,Toronto,Ontario,Advocate and partner with other levels of government,Action under consideration by municipality - not enough information to code.,,,No,No,Underway,,,,,,,,,
ID-Town of Paradise-001,Town of Paradise,Newfoundland and Labrador,"Youth Center Retrofit - Improve energy efficiency at the Youth Center (insulation, air sealing, etc.)",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Complete,,,,,,,,,
ID-Town of Paradise-002,Town of Paradise,Newfoundland and Labrador,"Net Zero Town Hall/Municipal Buildings: Create a Policy whereby all new municipal building designs and/or major retrofits and renovations address energy efficiency and target net-zero, net zero ready, or as high an energy efficiency measure as is feasible and practical. ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Complete,,,,,,,,,
ID-Town of Paradise-003,Town of Paradise,Newfoundland and Labrador,"Residential Energy Efficiency Program:
 - Air sealing/insultation, fuel switching, renewables, heat pumps
- Capacity building for local contractors
- Low income and seniors focus?",Action under consideration by municipality - not enough information to code.,,,Yes,No,Planned,,,,,,,,,
ID-Town of Paradise-004,Town of Paradise,Newfoundland and Labrador,"Residential Energy Efficiency Program:
 - Air sealing/insultation, fuel switching, renewables, heat pumps
- Capacity building for local contractors
- Low income and seniors focus?",Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,Yes,No,Planned,,,,,,,,,
ID-Town of Paradise-005,Town of Paradise,Newfoundland and Labrador,"Residential Energy Efficiency Program:
 - Air sealing/insultation, fuel switching, renewables, heat pumps
- Capacity building for local contractors
- Low income and seniors focus?",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,Yes,No,Planned,,,,,,,,,
ID-Township of Langley-001,Township of Langley,British Columbia, Continue education and training for building industry members on low-carbon and high performance construction ,Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,Yes,No,Ongoing,,,,,,,,,
ID-Township of Langley-002,Township of Langley,British Columbia,"Reduce energy and emissions and increase resilience in existing buildings - E.g. expand Green Building Rebate Program, implement Strata Energy Advisor program, etc.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Ongoing,,,,,,,,,
ID-Township of Langley-003,Township of Langley,British Columbia,"Develop a Step Code implementation plan for applicable building types - To meet the Township's climate action targets, new buildings will need to be energy efficient and zero carbon ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Township of Langley-004,Township of Langley,British Columbia,Create one comprehensive set of energy and emissions guidelines for new construction - Revise and consolidate existing Development Permit Area (DPA) energy and emissions guidelines and apply guidelines Township-wide  ,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Township of Langley-005,Township of Langley,British Columbia,Explore incentive and regulatory options for constructing high performance buildings,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Township of Langley-006,Township of Langley,British Columbia,"Explore the development of a green roof requirement for new commercial, industrial, institutional and multi-family residential developments  ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Township of Langley-007,Township of Langley,British Columbia,Pilot a retrofit program to upgrade existing single family homes - Reno Coach Pilot Program will provide incentives and resources to support homeowners ,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned,,,,,,,,,
ID-Township of Langley-008,Township of Langley,British Columbia,Explore options to require energy benchmarking and home energy labelling for new and existing buildings ,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Planned,,,,,,,,,
ID-Township of Langley-009,Township of Langley,British Columbia,Develop public education on the benefits of green buildings and green renovations ,Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned,,,,,,,,,
ID-Township of Langley-010,Township of Langley,British Columbia,Advocate to the provincial government to expand regulations for energy and emissions in new and existing buildings ,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned,,,,,,,,,
ID-Township of Langley-011,Township of Langley,British Columbia,Advocate to British Columbia Real Estate Association to include building energy labels in MLS listings ,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned,,,,,,,,,
ID-Township of Langley-012,Township of Langley,British Columbia,Provide education and incentives to support energy efficiency and emission reductions in industrial buildings ,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",Yes,No,Planned,,,,,,,,,
ID-Township of Langley-013,Township of Langley,British Columbia,"Develop low-carbon retrofit plans for all existing corporate facilities - Plans will focus on reducing energy use and emissions, and increasing climate resilience   ",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned,,,,,,,,,
ID-Township of Langley-014,Township of Langley,British Columbia,Implement low-carbon retrofit plan recommendations for all existing corporate facilities ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned,,,,,,,,,
ID-Township of Langley-015,Township of Langley,British Columbia,Implement an Energy Monitoring Plan at all corporate facilities - Provides ongoing communications to key staff on the use of energy and equipment performance in facilities ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,No,No,Planned,,,,,,,,,
ID-Township of Langley-016,Township of Langley,British Columbia,"Develop and implement a Building Tune Up program at all major corporate facilities - Covers preventative and predictive maintenance, using automated recommissioning to reduce energy use and emission",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,No,No,Planned,,,,,,,,,
